technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
5G Base Station (Macro Cell),v1v1v1,1,0.146172,0.000000,1.000000,0.000000,1.000000,3.000000,0.416667,0.899000,1.000000,56.792
5G Base Station (Macro Cell),d2v1v1,2,0.265564,0.000000,1.000000,0.000000,1.000000,5.000000,0.750000,0.840600,1.400000,2557.717
5G Base Station (Macro Cell),d3v1v1,3,0.317627,0.000000,1.000000,0.000000,1.000000,5.500000,0.750000,0.876000,1.750000,159.875
5G Base Station (Macro Cell),d4v1v1,4,0.245380,0.000000,1.000000,0.000000,1.000000,4.000000,0.583333,0.853800,2.000000,6194.850
5G Base Station (Macro Cell),d5v1v1,5,0.236674,0.000000,1.000000,0.000000,1.000000,4.000000,0.666667,0.923000,1.800000,6428.935
AESA Radar Module (Military),v1v1v1,1,0.081502,0.000000,1.000000,0.000000,1.000000,6.000000,0.368421,0.894800,1.000000,56.792
AESA Radar Module (Military),d2v1v1,2,0.111190,0.043478,0.956522,0.100000,0.900000,4.000000,0.473684,0.962000,2.200000,2557.717
AESA Radar Module (Military),d3v1v1,3,0.138315,0.000000,1.000000,0.000000,1.000000,6.000000,0.736842,0.975800,2.200000,159.875
AESA Radar Module (Military),d4v1v1,4,0.127584,0.027778,0.972222,0.071429,0.928571,7.500000,0.684211,0.889000,2.250000,6194.850
AESA Radar Module (Military),d5v1v1,5,0.286667,0.041667,0.958333,0.100000,0.900000,5.000000,0.473684,0.977200,2.200000,6428.935
Automated Guided Vehicle (AGV) Controller,v1v1v1,1,0.082766,0.000000,1.000000,0.000000,1.000000,3.000000,0.266667,0.863400,1.000000,56.792
Automated Guided Vehicle (AGV) Controller,d2v1v1,2,0.051389,0.000000,1.000000,0.000000,1.000000,4.000000,0.600000,0.955600,2.400000,2557.717
Automated Guided Vehicle (AGV) Controller,d3v1v1,3,0.309960,0.000000,1.000000,0.000000,1.000000,2.000000,0.400000,1.000000,2.200000,159.875
Automated Guided Vehicle (AGV) Controller,d4v1v1,4,0.157179,0.000000,1.000000,0.000000,1.000000,5.000000,0.666667,0.893000,2.400000,6194.850
Automated Guided Vehicle (AGV) Controller,d5v1v1,5,0.169936,0.000000,1.000000,0.000000,1.000000,4.000000,0.533333,0.920250,2.000000,6428.935
Automotive ECU (Engine Control Unit),v1v1v1,1,0.162729,0.384615,0.615385,0.166667,0.833333,3.000000,0.500000,0.921200,1.000000,56.792
Automotive ECU (Engine Control Unit),d2v1v1,2,0.189615,0.272727,0.727273,0.142857,0.857143,4.000000,0.600000,0.883400,1.600000,2557.717
Automotive ECU (Engine Control Unit),d3v1v1,3,0.172674,0.230769,0.769231,0.250000,0.750000,4.000000,0.600000,0.860400,1.800000,159.875
Automotive ECU (Engine Control Unit),d4v1v1,4,0.235991,0.260870,0.739130,0.142857,0.857143,5.000000,0.600000,0.965400,2.000000,6194.850
Automotive ECU (Engine Control Unit),d5v1v1,5,0.238607,0.428571,0.571429,0.363636,0.636364,5.000000,0.700000,0.840800,2.400000,6428.935
Automotive LED Headlamp Module,v1v1v1,1,0.167181,0.111111,0.888889,0.111111,0.888889,6.000000,0.444444,0.902200,1.000000,56.792
Automotive LED Headlamp Module,d2v1v1,2,0.061905,0.037037,0.962963,0.111111,0.888889,5.000000,0.444444,1.000000,2.000000,2557.717
Automotive LED Headlamp Module,d3v1v1,3,0.139177,0.000000,1.000000,0.000000,1.000000,4.000000,0.555556,1.000000,2.000000,159.875
Automotive LED Headlamp Module,d4v1v1,4,0.180866,0.000000,1.000000,0.000000,1.000000,6.000000,0.555556,0.930200,2.600000,6194.850
Automotive LED Headlamp Module,d5v1v1,5,0.151249,0.066667,0.933333,0.083333,0.916667,5.000000,0.611111,0.829800,1.600000,6428.935
Automotive Night Vision System,v1v1v1,1,0.054848,0.000000,1.000000,0.000000,1.000000,3.000000,0.428571,0.866000,1.000000,56.792
Automotive Night Vision System,d2v1v1,2,0.053333,0.000000,1.000000,0.000000,1.000000,2.000000,0.357143,1.000000,2.200000,2557.717
Automotive Night Vision System,d3v1v1,3,0.097421,0.055556,0.944444,0.250000,0.750000,3.000000,0.214286,0.908600,2.000000,159.875
Automotive Night Vision System,d4v1v1,4,0.016667,0.000000,1.000000,0.000000,1.000000,5.000000,0.857143,0.921600,2.200000,6194.850
Automotive Night Vision System,d5v1v1,5,0.058182,0.076923,0.923077,0.111111,0.888889,4.000000,0.571429,0.945800,2.600000,6428.935
Automotive Tire Pressure Monitoring System (TPMS),v1v1v1,1,0.026515,0.185185,0.814815,0.200000,0.800000,4.000000,0.500000,0.871000,1.000000,56.792
Automotive Tire Pressure Monitoring System (TPMS),d2v1v1,2,0.000000,0.166667,0.833333,0.000000,1.000000,2.500000,0.750000,0.885600,1.600000,2557.717
Automotive Tire Pressure Monitoring System (TPMS),d3v1v1,3,0.012500,0.000000,1.000000,0.000000,1.000000,3.000000,0.875000,0.955600,2.200000,159.875
Automotive Tire Pressure Monitoring System (TPMS),d4v1v1,4,0.047662,0.000000,1.000000,0.000000,1.000000,4.000000,0.750000,0.950000,2.400000,6194.850
Automotive Tire Pressure Monitoring System (TPMS),d5v1v1,5,0.011111,0.000000,1.000000,0.000000,1.000000,3.000000,0.875000,0.856800,2.200000,6428.935
Autonomous Vehicle Compute Platform,v1v1v1,1,0.123897,0.026316,0.973684,0.111111,0.888889,4.000000,0.500000,0.880400,1.000000,56.792
Autonomous Vehicle Compute Platform,d2v1v1,2,0.047614,0.071429,0.928571,0.100000,0.900000,5.000000,0.562500,0.889000,1.800000,2557.717
Autonomous Vehicle Compute Platform,d3v1v1,3,0.103309,0.027778,0.972222,0.083333,0.916667,4.000000,0.687500,0.930400,2.400000,159.875
Autonomous Vehicle Compute Platform,d4v1v1,4,0.228564,0.051282,0.948718,0.090909,0.909091,6.000000,0.625000,0.820200,1.800000,6194.850
Autonomous Vehicle Compute Platform,d5v1v1,5,0.125801,0.000000,1.000000,0.000000,1.000000,3.000000,0.562500,0.930000,2.200000,6428.935
CNC Machine Tool Controller,v1v1v1,1,0.133549,0.027027,0.972973,0.000000,1.000000,5.000000,0.538462,0.872800,1.000000,56.792
CNC Machine Tool Controller,d2v1v1,2,0.146676,0.076923,0.923077,0.142857,0.857143,4.000000,0.538462,0.933400,2.200000,2557.717
CNC Machine Tool Controller,d3v1v1,3,0.170875,0.083333,0.916667,0.000000,1.000000,5.000000,0.846154,0.945200,1.800000,159.875
CNC Machine Tool Controller,d4v1v1,4,0.335031,0.117647,0.882353,0.000000,1.000000,5.000000,0.538462,0.850600,1.800000,6194.850
CNC Machine Tool Controller,d5v1v1,5,0.218623,0.108108,0.891892,0.111111,0.888889,5.000000,0.692308,0.881800,2.000000,6428.935
CT Scanner,v1v1v1,1,0.304882,0.000000,1.000000,0.000000,1.000000,8.000000,0.769231,0.919600,1.000000,56.792
CT Scanner,d2v1v1,2,0.233806,0.000000,1.000000,0.000000,1.000000,6.000000,0.692308,0.866400,2.000000,2557.717
CT Scanner,d3v1v1,3,0.215909,0.000000,1.000000,0.000000,1.000000,6.000000,0.692308,0.926000,2.200000,159.875
CT Scanner,d4v1v1,4,0.353035,0.000000,1.000000,0.000000,1.000000,7.000000,0.769231,0.931400,2.000000,6194.850
CT Scanner,d5v1v1,5,0.299356,0.000000,1.000000,0.000000,1.000000,7.000000,0.846154,0.778200,1.600000,6428.935
Collaborative Robot (Cobot) Arm,v1v1v1,1,0.063539,0.054054,0.945946,0.000000,1.000000,6.000000,0.700000,0.883400,1.000000,56.792
Collaborative Robot (Cobot) Arm,d2v1v1,2,0.032500,0.062500,0.937500,0.200000,0.800000,2.000000,0.400000,0.902200,2.200000,2557.717
Collaborative Robot (Cobot) Arm,d3v1v1,3,0.072758,0.035714,0.964286,0.000000,1.000000,2.000000,0.500000,0.899200,2.200000,159.875
Collaborative Robot (Cobot) Arm,d4v1v1,4,0.109467,0.064516,0.935484,0.222222,0.777778,4.000000,0.700000,0.915000,2.400000,6194.850
Collaborative Robot (Cobot) Arm,d5v1v1,5,0.112839,0.034483,0.965517,0.125000,0.875000,4.000000,0.700000,0.939800,2.600000,6428.935
Contactless Payment Card,v1v1v1,1,0.028182,0.250000,0.750000,0.000000,1.000000,2.000000,0.500000,0.878400,1.000000,56.792
