technology,n,stability_mean_pairwise_jaccard,stability_mean_pairwise_jaccard_ci_lo,stability_mean_pairwise_jaccard_ci_hi,final_set_size_mean,final_set_size_median,judge_plausible_rate,judge_not_plausible_rate,judge_n,silver_recall_proxy,silver_ref_size,convergence_mean,runtime_seconds_mean
Autoclave (Steam Sterilizer),1,0.28779346335697775,0.28525819022058074,0.2903977797126976,145.10204081632654,143.0,,,0,0.47368421052631576,19,,
Autoclave (Steam Sterilizer),2,0.3276481346405835,0.2284164258869668,0.43600112943731156,40.2,17.5,0.65625,0.34375,32,0.47368421052631576,19,,
Autoclave (Steam Sterilizer),3,0.29082360307193994,0.2108402460975529,0.37749555858625405,41.0,24.5,0.6206896551724138,0.3793103448275862,29,0.3157894736842105,19,,
Autoclave (Steam Sterilizer),4,0.2765764777853794,0.2014277678019347,0.36050454944105703,57.4,73.5,0.6,0.4,30,0.47368421052631576,19,,
Autoclave (Steam Sterilizer),5,0.24757205087468767,0.17667040729265324,0.3179267632697912,48.2,53.0,0.5641025641025641,0.4358974358974359,39,0.3684210526315789,19,,
Bioreactor,1,0.29147936506706473,0.28804424037337406,0.29476731208319223,147.8,146.0,,,0,0.6521739130434783,23,,
Bioreactor,2,0.3211794334561999,0.23866914269384043,0.4071390084811848,46.8,48.0,0.5,0.5,26,0.4782608695652174,23,,
Bioreactor,3,0.35221402822960585,0.29147626162411655,0.4144219037302201,55.7,67.0,0.56,0.43999999999999995,25,0.34782608695652173,23,,
Bioreactor,4,0.34034417713423254,0.26353824857701746,0.41983684044429975,27.7,8.0,0.5294117647058824,0.47058823529411764,34,0.30434782608695654,23,,
Bioreactor,5,0.3107862206879365,0.2244799477844114,0.4009782458597886,31.6,7.5,0.4782608695652174,0.5217391304347826,46,0.34782608695652173,23,,
Capacitive Soil Moisture Sensor Probe (with MCU + radio),1,0.27540276667349856,0.2728162936709238,0.2781049974883979,152.36,145.5,,,0,0.6111111111111112,36,,
Capacitive Soil Moisture Sensor Probe (with MCU + radio),2,0.38596618040949543,0.27908368577677917,0.4980204650720424,43.1,30.0,0.6764705882352942,0.32352941176470584,34,0.3888888888888889,36,,
Capacitive Soil Moisture Sensor Probe (with MCU + radio),3,0.39333925537452763,0.3036517826269329,0.48071506960195937,53.4,65.5,0.5882352941176471,0.4117647058823529,34,0.3611111111111111,36,,
Capacitive Soil Moisture Sensor Probe (with MCU + radio),4,0.31130946432864226,0.23604475522175167,0.38480174353336705,37.7,9.5,0.6666666666666666,0.33333333333333337,48,0.3333333333333333,36,,
Capacitive Soil Moisture Sensor Probe (with MCU + radio),5,0.21613553558291984,0.1533186255704233,0.28598619252862345,35.5,37.0,0.6666666666666666,0.33333333333333337,51,0.25,36,,
Capsule Filling Machine,1,0.26693087687023515,0.26421457892775724,0.26959614585773395,121.14,123.0,,,0,0.4117647058823529,17,,
Capsule Filling Machine,2,0.4301202398115033,0.3368548923934662,0.5231796624103987,41.5,51.5,0.43478260869565216,0.5652173913043479,23,0.35294117647058826,17,,
Capsule Filling Machine,3,0.31452797316348013,0.25156201938735206,0.37967016872679615,50.3,55.0,0.4583333333333333,0.5416666666666667,24,0.4117647058823529,17,,
Capsule Filling Machine,4,0.2951784521647076,0.2228026766300132,0.37040922661693393,33.8,24.5,0.52,0.48,25,0.35294117647058826,17,,
Capsule Filling Machine,5,0.3571560910307822,0.2712291135651659,0.4396974019137472,21.7,7.5,0.4,0.6,25,0.23529411764705882,17,,
Computer Graphics Processing Units (GPUs),1,0.2701780709263964,0.2675117303356647,0.27286269817091163,163.44,160.0,,,0,0.6190476190476191,21,,
Computer Graphics Processing Units (GPUs),2,0.27467051195598263,0.20066308132432095,0.350488255541804,51.1,49.0,0.5185185185185185,0.4814814814814815,27,0.47619047619047616,21,,
Computer Graphics Processing Units (GPUs),3,0.32123737685255993,0.24094310084270237,0.4092173226187821,28.4,8.0,0.5483870967741935,0.4516129032258065,31,0.2857142857142857,21,,
Computer Graphics Processing Units (GPUs),4,0.2373249928536067,0.17679667505943691,0.3018596956874946,34.5,24.5,0.5135135135135135,0.4864864864864865,37,0.2857142857142857,21,,
Computer Graphics Processing Units (GPUs),5,0.3504756610590261,0.2661962085155065,0.4378296640183308,22.6,7.0,0.48717948717948717,0.5128205128205128,39,0.2857142857142857,21,,
DNA Sequencer (NGS platform),1,0.30029688072259814,0.2976679232167893,0.30307814035711655,151.76,155.0,,,0,0.47058823529411764,17,,
DNA Sequencer (NGS platform),2,0.5561267729193619,0.47768990610718287,0.6322708230048169,86.4,92.0,0.2619047619047619,0.7380952380952381,42,0.35294117647058826,17,,
DNA Sequencer (NGS platform),3,0.3524492872440024,0.2742148211219494,0.43173725330387386,71.3,82.0,0.2127659574468085,0.7872340425531915,47,0.4117647058823529,17,,
DNA Sequencer (NGS platform),4,0.38738368295103454,0.3014329658344126,0.47347511411958926,64.7,82.5,0.24,0.76,50,0.35294117647058826,17,,
DNA Sequencer (NGS platform),5,0.40293601726527045,0.3153511995186179,0.49888547901647345,67.0,82.5,0.2653061224489796,0.7346938775510203,49,0.35294117647058826,17,,
Electric Vehicle Battery,1,0.3341774000097104,0.3306458607567139,0.33776450094539395,164.88,164.0,,,0,0.6923076923076923,13,,
Electric Vehicle Battery,2,0.2894769587301808,0.22201278908426236,0.35550501359545333,76.5,87.5,0.4090909090909091,0.5909090909090908,22,0.5384615384615384,13,,
Electric Vehicle Battery,3,0.2907001916387719,0.23527943700623763,0.35017879377543004,69.7,58.5,0.375,0.625,24,0.5384615384615384,13,,
Electric Vehicle Battery,4,0.3013090592511338,0.23973745099575988,0.3674913899862432,71.8,77.5,0.4074074074074074,0.5925925925925926,27,0.5384615384615384,13,,
Electric Vehicle Battery,5,0.238238088040359,0.1825747817166067,0.29933986744549884,73.7,66.0,0.3333333333333333,0.6666666666666667,27,0.5384615384615384,13,,
Electric Vehicle Motor,1,0.29764519161861375,0.2943530607809838,0.3010401477982531,147.98,149.5,,,0,0.5454545454545454,22,,
Electric Vehicle Motor,2,0.2662191242058463,0.18440081744343897,0.3612098416755871,57.4,57.5,0.42857142857142855,0.5714285714285714,28,0.4090909090909091,22,,
Electric Vehicle Motor,3,0.3748195884022446,0.2820798120024063,0.46038045293293056,35.6,8.0,0.425531914893617,0.574468085106383,47,0.36363636363636365,22,,
Electric Vehicle Motor,4,0.2813373884910029,0.2078180150325525,0.3564778598056679,63.1,73.0,0.4523809523809524,0.5476190476190477,42,0.3181818181818182,22,,
Electric Vehicle Motor,5,0.23133601780932592,0.15949698418306762,0.30932671015773605,44.6,33.0,0.358974358974359,0.641025641025641,39,0.36363636363636365,22,,
Flow Cytometer,1,0.3170873769925662,0.31404131623072346,0.32005413114480025,191.5,190.0,,,0,0.6896551724137931,29,,
Flow Cytometer,2,0.3434458466166489,0.24380209289467472,0.44971539560226426,51.3,35.5,0.5,0.5,34,0.3793103448275862,29,,
Flow Cytometer,3,0.3302005317671435,0.2518723954029987,0.40512157477672417,49.5,60.0,0.43243243243243246,0.5675675675675675,37,0.3793103448275862,29,,
Flow Cytometer,4,0.37508525393699277,0.28443341744223366,0.4652578031818197,35.3,10.5,0.4888888888888889,0.5111111111111111,45,0.3448275862068966,29,,
